isin,gvkey,year,quarter,cc_expo_ew,cc_risk_ew,cc_pos_ew,cc_neg_ew,cc_sent_ew
AEA002401015,338892.0,2012,1,0.002644104,0.0,0.0,-0.000528821,-0.000528821
AEDFXA0M6V00,284856.0,2018,3,0.001156069,0.0,0.0,0.0,0.0
AGP8696W1045,150257.0,2012,3,0.000895255,0.0,0.00179051,-0.000895255,0.000895255
AN8068571086,9465.0,2020,2,0.000843526,0.0,0.0,0.0,0.0
ARP6558L1178,31010.0,2007,1,0.003937008,0.0,0.001968504,0.0,0.001968504
AT0000741053,103133.0,2022,1,0.016413374,0.0,0.004863222,-0.004863222,0.0
AT0000937503,226156.0,2015,1,0.001841621,0.0,0.000368324,-0.001104972,-0.000736648
AT000AGRANA3,200075.0,2024,3,0.00095057,0.0,0.00095057,0.0,0.00095057
AT000KAPSCH9,285181.0,2018,4,0.001358696,0.0,0.000679348,0.0,0.000679348
AU000000ANN9,14242.0,2009,1,0.000296384,0.0,0.0,0.0,0.0
AU000000APA1,242536.0,2016,1,0.005486968,0.000548697,0.001920439,0.0,0.001920439
AU000000CHC0,273131.0,2019,1,0.002745367,0.0,0.0,0.0,0.0
AU000000CSR5,17544.0,2013,4,0.001039501,0.0,0.000693001,0.0,0.000693001
AU000000FDV2,322155.0,2022,1,0.000648298,0.0,0.000324149,0.0,0.000324149
AU000000HT18,210232.0,2016,3,0.000394633,0.0,0.0,0.0,0.0
AU000000IAG3,239116.0,2017,1,0.00079582,0.0,0.001470588,-0.000152812,0.001317776
AU000000IPL1,257860.0,2023,4,0.003354901,0.0,0.002635993,-0.00167745,0.000958543
AU000000MFG4,271324.0,2023,1,0.000651254,0.0,0.000325627,0.0,0.000325627
AU000000ORE0,287496.0,2019,2,0.000947867,0.000473934,0.000473934,-0.000473934,0.0
AU000000PNI7,285042.0,2020,3,0.000951022,0.0,0.000475511,-0.000475511,0.0
AU000000RFF5,317166.0,2024,1,0.005964215,0.002650762,0.0,-0.003313453,-0.003313453
AU000000SGF1,317261.0,2023,3,0.010394265,0.001075269,0.005734767,-0.002867384,0.002867384
AU000000SGM7,208079.0,2009,4,0.000777907,0.0,0.0,-0.000388954,-0.000388954
AU000000SGM7,208079.0,2019,3,0.001945525,0.0,0.00077821,0.0,0.00077821
AU000000SKF3,248831.0,2019,4,0.000538503,0.0,0.0,0.0,0.0
AU000000SSM2,271534.0,2019,3,0.003264925,0.0,0.001865672,-0.000466418,0.001399254
AU000000WOW2,100894.0,2020,1,0.001059135,0.0,0.001059135,-0.000529568,0.000529568
AU000000YAL0,313077.0,2022,3,0.004175365,0.000417537,0.00125261,0.0,0.00125261
AU0000063893,335580.0,2022,1,0.002328289,0.0,0.001164144,0.0,0.001164144
AU0000117343,327215.0,2021,3,0.002565418,0.0,0.000513084,0.0,0.000513084
AU0000117343,327215.0,2022,1,0.002014099,0.0,0.000503525,-0.001007049,-0.000503525
BE0003565737,15703.0,2012,2,0.000314268,0.0,0.0,-0.000314268,-0.000314268
BE0003810273,200384.0,2022,3,0.00037679,0.0,0.00037679,0.0,0.00037679
BE0974264930,16447.0,2022,1,0.002217295,0.0,0.001478197,-0.000369549,0.001108647
BE0974310428,323910.0,2023,1,0.005372733,0.0,0.000671592,-0.003357958,-0.002686367
BMG0129K1045,175110.0,2012,1,0.000319387,0.0,0.0,0.0,0.0
BMG0750C1082,22134.0,2016,2,0.001073826,0.000268456,0.000268456,-0.001073826,-0.000805369
BMG169621056,144435.0,2008,2,0.000345304,0.0,0.0,0.0,0.0
BMG169621056,144435.0,2017,1,0.000927357,0.000309119,0.000309119,-0.000309119,0.0
BMG210821051,31424.0,2018,2,0.01618123,0.000809061,0.003236246,-0.001618123,0.001618123
BMG2519Y1084,61452.0,2005,3,0.001273885,0.0,0.0,-0.000636943,-0.000636943
BMG3198U1027,18745.0,2021,3,0.000500751,0.0,0.000500751,0.0,0.000500751
BMG3223R1088,61388.0,2023,4,0.001246883,0.000311721,0.000623441,0.0,0.000623441
BMG475671050,162906.0,2014,3,0.000328623,0.0,0.000657246,0.0,0.000657246
BMG507361001,100424.0,2014,3,0.000625391,0.000625391,0.0,0.0,0.0
BMG668971101,205221.0,2021,3,0.005804312,0.001658375,0.002487562,0.0,0.002487562
BMG671801022,316233.0,2018,2,0.000750751,0.0,0.000750751,-0.000750751,0.0
BMG671801022,316233.0,2019,3,0.003304693,0.0,0.000660939,0.0,0.000660939
BMG810751062,160621.0,2023,1,0.0010005,0.0,0.0,0.0,0.0
BMG899821133,142391.0,2012,1,0.000478469,0.0,0.0,0.0,0.0
BRBPHAACNOR6,298214.0,2015,3,0.000509684,0.0,0.0,0.0,0.0
BRCMIGACNPR3,222357.0,2005,3,0.004026846,0.0,0.001006711,-0.00033557,0.000671141
BRCSANACNOR6,274536.0,2009,3,0.000772798,0.0,0.000386399,-0.000386399,0.0
BRCSMGACNOR5,166035.0,2014,1,0.003731343,0.0,0.0,0.0,0.0
BRELPLACNOR9,220478.0,2018,2,0.003809524,0.0,0.004761905,-0.002857143,0.001904762
BRGOLLACNPR4,160628.0,2022,3,0.001459321,0.0,0.001824152,0.0,0.001824152
BRMGLUACNOR2,297353.0,2021,3,0.000356379,0.0,0.0,0.0,0.0
BRMRFGACNOR0,285188.0,2018,1,0.000514668,0.0,0.0,-0.001029336,-0.001029336
BRPRIOACNOR1,295682.0,2012,2,0.000673854,0.0,0.0,0.0,0.0
BRRSIDACNOR8,108098.0,2012,4,0.000596659,0.0,0.000596659,0.0,0.000596659
BRUGPAACNOR8,124617.0,2021,4,0.001854599,0.00037092,0.00111276,-0.00074184,0.00037092
BRUSIMACNPA6,212380.0,2006,1,0.00132626,0.0,0.0,-0.000442087,-0.000442087
BRVALEACNOR0,209382.0,2007,2,0.001195219,0.0,0.001195219,0.0,0.001195219
BRVIVTACNPR7,222648.0,2010,1,0.000722282,0.0,0.0,-0.000361141,-0.000361141
BRWIZCACNOR5,319806.0,2022,2,0.000532765,0.000532765,0.0,-0.000532765,-0.000532765
BSP943981071,174121.0,2009,1,0.000416667,0.0,0.0,0.0,0.0
CA0010921058,61955.0,2008,2,0.000327976,0.0,0.0,0.0,0.0
CA00847V1085,105950.0,2012,2,0.001229005,0.0,0.0,0.0,0.0
CA0089161081,28169.0,2009,1,0.000466418,0.0,0.0,-0.001399254,-0.001399254
CA00927V2003,20525.0,2023,1,0.001478561,0.000492854,0.000492854,-0.000492854,0.0
CA0115271086,152848.0,2011,1,0.00174216,0.0,0.0,-0.00174216,-0.00174216
CA0137161059,1243.0,2005,3,0.001257229,0.0,0.000251446,0.0,0.000251446
CA0158571053,115044.0,2018,3,0.016156176,0.000336587,0.007741501,-0.002692696,0.005048805
CA02153D2014,183230.0,2011,3,0.016393443,0.0,0.007127584,-0.001425517,0.005702067
