year,quarter,Mom
1927,1,0.02548413039999997
1927,2,0.07851144644000008
1927,3,0.07559339075000016
1927,4,0.019366329463999854
1928,1,0.031032433339999832
1928,2,-0.01634663475999998
1928,3,0.10067496703999979
1928,4,0.08671257136400001
1929,1,0.05035061217999992
1929,2,0.07987210205599982
1929,3,0.10661202080000032
1929,4,0.05766840415599983
1930,1,-0.0841782098299999
1930,2,0.09373586940799994
1930,3,0.13428090393799996
1930,4,0.17954667052800022
1931,1,-0.15704998664000003
1931,2,-0.0009387279999998333
1931,3,0.14774084768000018
1931,4,0.2553920143099999
1932,1,0.0057864415760000565
1932,2,0.23452436598399995
1932,3,-0.7365362617560001
1932,4,0.08423414067199997
1933,1,0.06425433295999983
1933,2,-0.1871463847199999
1933,3,0.08888944120999986
1933,4,0.083022763592
1934,1,-0.039509205583000195
1934,2,-0.07819069176100002
1934,3,0.11518328832000013
1934,4,0.15933570732799995
1935,1,0.20805055762000002
1935,2,-0.0571759998250001
1935,3,-0.03529595717199996
1935,4,-0.018460087360000155
1936,1,0.01137722573400013
1936,2,-0.048317758000000044
1936,3,0.045587196539999875
1936,4,0.049221034736000036
1937,1,0.04068995841799983
1937,2,-0.022335013883999943
1937,3,-0.08954888996999999
1937,4,0.019657086110000055
1938,1,0.1053448984480001
1938,2,-0.27542772289000006
1938,3,-0.01152421688500005
1938,4,-0.022339139068000002
1939,1,-0.01831704275200008
1939,2,0.08686362447499985
1939,3,-0.2786560550199999
1939,4,0.11886942461000016
1940,1,0.028804870867999988
1940,2,0.03599960243
1940,3,-0.009462079560000003
1940,4,-0.011456571423999695
1941,1,-0.010198822720000056
1941,2,0.048333791779999746
1941,3,-0.029508213527999927
1941,4,0.0996419436
1942,1,-0.04760763510400001
1942,2,-0.06854569566399993
1942,3,-0.0008705240620000554
1942,4,-0.02323500479399998
1943,1,0.02704024808000005
1943,2,0.10625944232000006
1943,3,-0.019837452069999983
1943,4,0.005061710741999903
1944,1,0.03731065555000024
1944,2,-0.03233876888000009
1944,3,0.03522503885000017
1944,4,0.0333277778879999
1945,1,0.0006176952800001079
1945,2,0.09208561491000022
1945,3,-0.026292086919999957
1945,4,0.05772521122099983
1946,1,0.05047813403000001
1946,2,-0.0007870858879999165
1946,3,0.008710792300000048
1946,4,0.01283621293199988
1947,1,-0.029667244000000093
1947,2,0.06957410367200012
1947,3,4.9850799999973106e-05
1947,4,0.09740722998399987
1948,1,-0.03081981302499992
1948,2,0.10818429041600042
1948,3,-0.02744116480000014
1948,4,0.08140817864400018
1949,1,-0.041010781923999984
1949,2,0.04914691463800014
1949,3,-0.013144408360000082
1949,4,0.004398339499999793
1950,1,0.00432639719599992
1950,2,-0.009789368824000055
1950,3,0.025285917431999927
1950,4,0.10274259708799982
1951,1,-0.02614755467999985
1951,2,0.023910084960000022
1951,3,0.085239235892
1951,4,0.0201354572750001
1952,1,0.02341915286000007
1952,2,6.971285599988164e-05
1952,3,0.015144646490000246
1952,4,0.04687565351200029
1953,1,0.016880842880000024
1953,2,0.0276674400000001
1953,3,0.046926785239999935
1953,4,0.07540296289999993
1954,1,-0.028342696767999942
1954,2,0.06612371131999994
1954,3,0.014130871753999852
1954,4,0.013679031440000156
1955,1,0.03509530764799984
1955,2,0.05348256120799988
1955,3,0.023580170623999974
1955,4,0.0071015973200001525
1956,1,0.040378608703999896
1956,2,0.037247083759999855
1956,3,0.010283415188000022
1956,4,0.09915768832000005
1957,1,-0.02973696256799996
1957,2,0.018496124953999882
1957,3,0.01032441171999987
1957,4,0.11406604129799991
1958,1,-0.05866445463999992
1958,2,-0.007641897660000008
1958,3,-0.04516281680799983
1958,4,0.03964462988100004
1959,1,0.033269603080000154
1959,2,0.07995212360000026
1959,3,-0.005770026999999955
1959,4,0.06888272034099985
1960,1,0.0176452936
1960,2,0.08725153720399992
1960,3,0.011824678339999783
1960,4,0.06373127750399998
1961,1,0.010122339583999995
1961,2,0.02299145497999988
1961,3,0.026683305032000115
1961,4,0.021741031916000075
1962,1,-0.011866704400000039
1962,2,0.10031989536000019
1962,3,0.038946018828000195
1962,4,-0.00937752258999991
1963,1,0.01921637919199992
1963,2,0.013519106359999977
1963,3,0.0214252412
1963,4,0.04208376782400003
1964,1,0.020527042253999817
1964,2,0.023526148975999917
1964,3,-0.010165967049999947
1964,4,0.005931745789999887
1965,1,-0.00975255630400007
1965,2,-0.0018447149699998278
1965,3,0.10288436673799994
1965,4,0.07893798200000002
1966,1,0.11720320812799989
1966,2,0.041518975795999724
1966,3,-0.05276518377999995
1966,4,0.012243371959999916
1967,1,-0.023976262300000162
1967,2,0.07264556263199995
1967,3,-0.0007297097199999714
1967,4,0.0830313267199998
1968,1,-0.047051040483999995
1968,2,0.06772446037500002
1968,3,0.0034673422400000042
1968,4,0.005754107072000192
1969,1,0.012543602950000121
1969,2,0.006914705435999924
1969,3,0.06526122436400006
1969,4,0.043751923676000004
1970,1,0.0046851855679999055
1970,2,0.019764871992000055
1970,3,-0.174028711424
1970,4,0.09702205635000016
1971,1,-0.07410904472000002
1971,2,0.05054589231200013
1971,3,0.03162036032000004
1971,4,0.013850411899999804
1972,1,0.05618263067400009
1972,2,0.0823095223300001
1972,3,-0.010453207584000035
1972,4,0.0031586977999999988
1973,1,0.09871064780000016
1973,2,0.1893261626449998
1973,3,-0.14885726080599992
1973,4,0.281331041264
1974,1,-0.09497173959999994
1974,2,0.041249514031999945
1974,3,0.10620426160000007
1974,4,0.04687758532000008
1975,1,-0.16073950828000005
1975,2,0.00880873503199986
